name,node_id,osm_node_id,x_coord,y_coord,geometry
,0,657408765,-94.9176049,43.3949027,POINT (-94.9176049 43.3949027)
,1,657408769,-94.9179812,43.3949977,POINT (-94.9179812 43.3949977)
,2,657408774,-94.9179895,43.3949998,POINT (-94.9179895 43.3949998)
,3,657408777,-94.9180701,43.3950101,POINT (-94.91807009999999 43.3950101)
,4,657408781,-94.9181785,43.3950002,POINT (-94.9181785 43.3950002)
,5,657408785,-94.9182065,43.3949872,POINT (-94.9182065 43.3949872)
,6,657408789,-94.9182729,43.3949392,POINT (-94.91827290000001 43.3949392)
,7,657408793,-94.9183113,43.3949044,POINT (-94.9183113 43.3949044)
,8,657408797,-94.918341,43.394713,POINT (-94.918341 43.394713)
,9,657408801,-94.9183688,43.3946927,POINT (-94.9183688 43.3946927)
,10,657408805,-94.9184911,43.3946546,POINT (-94.9184911 43.3946546)
,11,657408809,-94.9185815,43.3946621,POINT (-94.9185815 43.3946621)
,12,657408813,-94.9187738,43.3946931,POINT (-94.9187738 43.3946931)
,13,657408816,-94.9188489,43.3947243,POINT (-94.9188489 43.3947243)
,14,657408820,-94.9188953,43.3947487,POINT (-94.9188953 43.3947487)
,15,657408825,-94.9189427,43.3947623,POINT (-94.9189427 43.3947623)
,16,657408829,-94.9189994,43.3947974,POINT (-94.9189994 43.3947974)
,17,657408833,-94.9192993,43.3948734,POINT (-94.91929930000001 43.3948734)
,18,657408837,-94.9193799,43.3948837,POINT (-94.9193799 43.3948837)
,19,657408842,-94.9194496,43.3949015,POINT (-94.91944959999999 43.3949015)
,20,657408845,-94.9196105,43.3948745,POINT (-94.9196105 43.3948745)
,21,657408849,-94.9197045,43.3948405,POINT (-94.91970449999999 43.3948405)
,22,657409962,-94.9131237,43.399053,POINT (-94.9131237 43.399053)
,23,657412547,-94.9140132,43.3955778,POINT (-94.9140132 43.3955778)
,24,657412661,-94.9145489,43.3944334,POINT (-94.9145489 43.3944334)
,25,657413855,-94.9172985,43.3929395,POINT (-94.9172985 43.3929395)
,26,657413859,-94.917279,43.3930632,POINT (-94.91727899999999 43.3930632)
,27,657413862,-94.917236,43.3931486,POINT (-94.917236 43.3931486)
,28,657413866,-94.9172476,43.3933996,POINT (-94.9172476 43.3933996)
,29,657413869,-94.917167,43.3935468,POINT (-94.91716700000001 43.3935468)
,30,657413873,-94.917143,43.3936462,POINT (-94.917143 43.3936462)
,31,657413876,-94.9171095,43.3937179,POINT (-94.9171095 43.3937179)
,32,657413880,-94.9170076,43.3940501,POINT (-94.91700760000001 43.3940501)
,33,657413883,-94.9169231,43.3941118,POINT (-94.91692310000001 43.3941118)
,34,657488208,-94.9059681,43.3895371,POINT (-94.9059681 43.3895371)
,35,657505018,-94.9171215,43.3942172,POINT (-94.91712149999999 43.3942172)
,36,657523460,-94.9169987,43.3942407,POINT (-94.91699869999999 43.3942407)
,37,657545341,-94.8985882,43.3880255,POINT (-94.89858820000001 43.3880255)
,38,657545344,-94.8985135,43.3880456,POINT (-94.89851350000001 43.3880456)
,39,657545348,-94.8984689,43.388041,POINT (-94.8984689 43.388041)
,40,657545350,-94.8984189,43.3880184,POINT (-94.8984189 43.3880184)
,41,657620181,-94.9219678,43.3970625,POINT (-94.9219678 43.3970625)
,42,657620184,-94.921864,43.397021,POINT (-94.921864 43.397021)
,43,657620186,-94.9218267,43.3970145,POINT (-94.9218267 43.3970145)
,44,657620190,-94.9217614,43.3969796,POINT (-94.92176139999999 43.3969796)
,45,657620194,-94.9217242,43.396973,POINT (-94.9217242 43.396973)
,46,657620197,-94.921649,43.3969382,POINT (-94.921649 43.3969382)
,47,657620201,-94.9215268,43.3969034,POINT (-94.9215268 43.3969034)
,48,657620203,-94.921498,43.3968885,POINT (-94.921498 43.3968885)
,49,657620208,-94.9213483,43.3968415,POINT (-94.92134830000001 43.3968415)
,50,657620211,-94.9211218,43.3967859,POINT (-94.92112179999999 43.3967859)
,51,657620213,-94.9208211,43.3967639,POINT (-94.9208211 43.3967639)
,52,657620216,-94.9204916,43.3967704,POINT (-94.92049160000001 43.3967704)
,53,657620220,-94.9203034,43.3967564,POINT (-94.92030339999999 43.3967564)
,54,657620224,-94.9202571,43.3967356,POINT (-94.9202571 43.3967356)
,55,657620228,-94.9200492,43.3967211,POINT (-94.92004919999999 43.3967211)
,56,657620231,-94.9200028,43.3967002,POINT (-94.92000280000001 43.3967002)
,57,657620235,-94.9199037,43.3966893,POINT (-94.91990370000001 43.3966893)
,58,657620238,-94.9198614,43.3966792,POINT (-94.9198614 43.3966792)
,59,657620241,-94.9198151,43.3966584,POINT (-94.91981509999999 43.3966584)
,60,657620242,-94.9197117,43.3966304,POINT (-94.91971169999999 43.3966304)
,61,657620246,-94.9196075,43.3966168,POINT (-94.9196075 43.3966168)
,62,657620250,-94.9192796,43.3964783,POINT (-94.9192796 43.3964783)
,63,657620254,-94.9191575,43.3964029,POINT (-94.9191575 43.3964029)
,64,657620257,-94.9188578,43.3961792,POINT (-94.9188578 43.3961792)
,65,657620261,-94.9188294,43.3961409,POINT (-94.91882940000001 43.3961409)
,66,657654373,-94.9219824,43.389325,POINT (-94.9219824 43.389325)
,67,657654376,-94.9219594,43.3893794,POINT (-94.92195940000001 43.3893794)
,68,657654377,-94.9219348,43.3894203,POINT (-94.9219348 43.3894203)
,69,657654380,-94.9219071,43.3894415,POINT (-94.9219071 43.3894415)
,70,657654381,-94.9218408,43.3894543,POINT (-94.9218408 43.3894543)
,71,657654388,-94.9218032,43.3894748,POINT (-94.9218032 43.3894748)
,72,657654391,-94.9217468,43.3894883,POINT (-94.92174679999999 43.3894883)
,73,657654392,-94.9215204,43.3894741,POINT (-94.92152040000001 43.3894741)
,74,657654395,-94.9213983,43.3894392,POINT (-94.92139830000001 43.3894392)
,75,657654396,-94.9213417,43.3894051,POINT (-94.9213417 43.3894051)
,76,657654398,-94.9212064,43.3893434,POINT (-94.9212064 43.3893434)
,77,657654401,-94.9209948,43.3892119,POINT (-94.9209948 43.3892119)
,78,657654402,-94.9209485,43.3891911,POINT (-94.92094849999999 43.3891911)
,79,657654404,-94.9208727,43.389177,POINT (-94.9208727 43.389177)
,80,657654406,-94.9208262,43.3891499,POINT (-94.92082619999999 43.3891499)
,81,657654408,-94.9207081,43.3891258,POINT (-94.9207081 43.3891258)
,82,657654410,-94.920488,43.3891142,POINT (-94.92048800000001 43.3891142)
,83,657654412,-94.9202242,43.3891276,POINT (-94.92022420000001 43.3891276)
,84,657654414,-94.9200347,43.3891884,POINT (-94.9200347 43.3891884)
,85,657654416,-94.9199405,43.3892161,POINT (-94.9199405 43.3892161)
,86,657654418,-94.9198093,43.3892426,POINT (-94.9198093 43.3892426)
,87,657654420,-94.9195488,43.3894001,POINT (-94.9195488 43.3894001)
,88,657654422,-94.9190241,43.3897924,POINT (-94.9190241 43.3897924)
,89,657654424,-94.9188534,43.3899394,POINT (-94.9188534 43.3899394)
,90,657654426,-94.9188528,43.3899601,POINT (-94.9188528 43.3899601)
