name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,dir_flag,access,boat,capacity,gnis_feature_id,gnis_state_id,gnis_name,intermittent,tunnel,lanes,length,free_speed,geometry
,0,51475282,37,38,wetland,2,,,,,,,,,1,6.436796559198687,,"LINESTRING (-94.89858820000001 43.3880255, -94.89851350000001 43.3880456)"
,1,51475282,38,39,wetland,2,,,,,,,,,1,3.640124180081926,,"LINESTRING (-94.89851350000001 43.3880456, -94.8984689 43.388041)"
,2,51475282,39,40,wetland,2,,,,,,,,,1,4.758127401913246,,"LINESTRING (-94.8984689 43.388041, -94.8984189 43.3880184)"
,3,51475793,25,26,stream,2,,,,,,,,,1,13.844761690219663,,"LINESTRING (-94.9172985 43.3929395, -94.91727899999999 43.3930632)"
,4,51475793,26,27,stream,2,,,,,,,,,1,10.111703174790053,,"LINESTRING (-94.91727899999999 43.3930632, -94.917236 43.3931486)"
,5,51475793,27,28,stream,2,,,,,,,,,1,27.92566032009767,,"LINESTRING (-94.917236 43.3931486, -94.9172476 43.3933996)"
,6,51475793,28,29,stream,2,,,,,,,,,1,17.615914663048347,,"LINESTRING (-94.9172476 43.3933996, -94.91716700000001 43.3935468)"
,7,51475793,29,30,stream,2,,,,,,,,,1,11.221601639625918,,"LINESTRING (-94.91716700000001 43.3935468, -94.917143 43.3936462)"
,8,51475793,30,31,stream,2,,,,,,,,,1,8.419637991416414,,"LINESTRING (-94.917143 43.3936462, -94.9171095 43.3937179)"
,9,51475793,31,32,stream,2,,,,,,,,,1,37.84542908762182,,"LINESTRING (-94.9171095 43.3937179, -94.91700760000001 43.3940501)"
,10,51475793,32,33,stream,2,,,,,,,,,1,9.679096014522468,,"LINESTRING (-94.91700760000001 43.3940501, -94.91692310000001 43.3941118)"
,11,51475943,41,42,stream,2,,,,,,,,,1,9.57229336286952,,"LINESTRING (-94.9219678 43.3970625, -94.921864 43.397021)"
,12,51475943,42,43,stream,2,,,,,,,,,1,3.099126993297101,,"LINESTRING (-94.921864 43.397021, -94.9218267 43.3970145)"
,13,51475943,43,44,stream,2,,,,,,,,,1,6.549458674099019,,"LINESTRING (-94.9218267 43.3970145, -94.92176139999999 43.3969796)"
,14,51475943,44,45,stream,2,,,,,,,,,1,3.0938915461984573,,"LINESTRING (-94.92176139999999 43.3969796, -94.9217242 43.396973)"
,15,51475943,45,46,stream,2,,,,,,,,,1,7.203420218073597,,"LINESTRING (-94.9217242 43.396973, -94.921649 43.3969382)"
,16,51475943,46,47,stream,2,,,,,,,,,1,10.60443347822172,,"LINESTRING (-94.921649 43.3969382, -94.9215268 43.3969034)"
,17,51475943,47,48,stream,2,,,,,,,,,1,2.856487420000212,,"LINESTRING (-94.9215268 43.3969034, -94.921498 43.3968885)"
,18,51475943,48,49,stream,2,,,,,,,,,1,13.175895845372143,,"LINESTRING (-94.921498 43.3968885, -94.92134830000001 43.3968415)"
,19,51475943,49,50,stream,2,,,,,,,,,1,19.316328045584317,,"LINESTRING (-94.92134830000001 43.3968415, -94.92112179999999 43.3967859)"
,20,51475943,50,51,stream,2,,,,,,,,,1,24.41811995474656,,"LINESTRING (-94.92112179999999 43.3967859, -94.9208211 43.3967639)"
,21,51475943,51,52,stream,2,,,,,,,,,1,26.632001762076307,,"LINESTRING (-94.9208211 43.3967639, -94.92049160000001 43.3967704)"
,22,51475943,52,53,stream,2,,,,,,,,,1,15.285236314348332,,"LINESTRING (-94.92049160000001 43.3967704, -94.92030339999999 43.3967564)"
,23,51475943,53,54,stream,2,,,,,,,,,1,4.3980911731324905,,"LINESTRING (-94.92030339999999 43.3967564, -94.9202571 43.3967356)"
,24,51475943,54,55,stream,2,,,,,,,,,1,16.874645899154277,,"LINESTRING (-94.9202571 43.3967356, -94.92004919999999 43.3967211)"
,25,51475943,55,56,stream,2,,,,,,,,,1,4.410815762322148,,"LINESTRING (-94.92004919999999 43.3967211, -94.92000280000001 43.3967002)"
,26,51475943,56,57,stream,2,,,,,,,,,1,8.098080654643553,,"LINESTRING (-94.92000280000001 43.3967002, -94.91990370000001 43.3966893)"
,27,51475943,57,58,stream,2,,,,,,,,,1,3.5974588854435097,,"LINESTRING (-94.91990370000001 43.3966893, -94.9198614 43.3966792)"
,28,51475943,58,59,stream,2,,,,,,,,,1,4.398095228953758,,"LINESTRING (-94.9198614 43.3966792, -94.91981509999999 43.3966584)"
,29,51475943,59,60,stream,2,,,,,,,,,1,8.915596924373464,,"LINESTRING (-94.91981509999999 43.3966584, -94.91971169999999 43.3966304)"
,30,51475943,60,61,stream,2,,,,,,,,,1,8.553675594514502,,"LINESTRING (-94.91971169999999 43.3966304, -94.9196075 43.3966168)"
,31,51475943,61,62,stream,2,,,,,,,,,1,30.64400712581361,,"LINESTRING (-94.9196075 43.3966168, -94.9192796 43.3964783)"
,32,51475943,62,63,stream,2,,,,,,,,,1,12.946640072315633,,"LINESTRING (-94.9192796 43.3964783, -94.9191575 43.3964029)"
,33,51475943,63,64,stream,2,,,,,,,,,1,34.71428081903049,,"LINESTRING (-94.9191575 43.3964029, -94.9188578 43.3961792)"
,34,51475943,64,65,stream,2,,,,,,,,,1,4.837600001894559,,"LINESTRING (-94.9188578 43.3961792, -94.91882940000001 43.3961409)"
,35,51476451,66,67,stream,2,,,,,,,,,1,6.328078698378234,,"LINESTRING (-94.9219824 43.389325, -94.92195940000001 43.3893794)"
,36,51476451,67,68,stream,2,,,,,,,,,1,4.9633213558633145,,"LINESTRING (-94.92195940000001 43.3893794, -94.9219348 43.3894203)"
,37,51476451,68,69,stream,2,,,,,,,,,1,3.250701396014603,,"LINESTRING (-94.9219348 43.3894203, -94.9219071 43.3894415)"
,38,51476451,69,70,stream,2,,,,,,,,,1,5.543243077685533,,"LINESTRING (-94.9219071 43.3894415, -94.9218408 43.3894543)"
,39,51476451,70,71,stream,2,,,,,,,,,1,3.798326015930458,,"LINESTRING (-94.9218408 43.3894543, -94.9218032 43.3894748)"
,40,51476451,71,72,stream,2,,,,,,,,,1,4.798284676458102,,"LINESTRING (-94.9218032 43.3894748, -94.92174679999999 43.3894883)"
,41,51476451,72,73,stream,2,,,,,,,,,1,18.3623652664471,,"LINESTRING (-94.92174679999999 43.3894883, -94.92152040000001 43.3894741)"
,42,51476451,73,74,stream,2,,,,,,,,,1,10.602107694215047,,"LINESTRING (-94.92152040000001 43.3894741, -94.92139830000001 43.3894392)"
,43,51476451,74,75,stream,2,,,,,,,,,1,5.940967384910021,,"LINESTRING (-94.92139830000001 43.3894392, -94.9213417 43.3894051)"
,44,51476451,75,76,stream,2,,,,,,,,,1,12.907360983834664,,"LINESTRING (-94.9213417 43.3894051, -94.9212064 43.3893434)"
,45,51476451,76,77,stream,2,,,,,,,,,1,22.498113125540193,,"LINESTRING (-94.9212064 43.3893434, -94.9209948 43.3892119)"
,46,51476451,77,78,stream,2,,,,,,,,,1,4.398487309427537,,"LINESTRING (-94.9209948 43.3892119, -94.92094849999999 43.3891911)"
,47,51476451,78,79,stream,2,,,,,,,,,1,6.322561578535228,,"LINESTRING (-94.92094849999999 43.3891911, -94.9208727 43.389177)"
,48,51476451,79,80,stream,2,,,,,,,,,1,4.8165418801331175,,"LINESTRING (-94.9208727 43.389177, -94.92082619999999 43.3891499)"
,49,51476451,80,81,stream,2,,,,,,,,,1,9.912292306429322,,"LINESTRING (-94.92082619999999 43.3891499, -94.9207081 43.3891258)"
,50,51476451,81,82,stream,2,,,,,,,,,1,17.832095177970235,,"LINESTRING (-94.9207081 43.3891258, -94.92048800000001 43.3891142)"
,51,51476451,82,83,stream,2,,,,,,,,,1,21.368614160798984,,"LINESTRING (-94.92048800000001 43.3891142, -94.92022420000001 43.3891276)"
,52,51476451,83,84,stream,2,,,,,,,,,1,16.73874507004254,,"LINESTRING (-94.92022420000001 43.3891276, -94.9200347 43.3891884)"
,53,51476451,84,85,stream,2,,,,,,,,,1,8.211464621936722,,"LINESTRING (-94.9200347 43.3891884, -94.9199405 43.3892161)"
,54,51476451,85,86,stream,2,,,,,,,,,1,11.003602301366664,,"LINESTRING (-94.9199405 43.3892161, -94.9198093 43.3892426)"
,55,51476451,86,87,stream,2,,,,,,,,,1,27.38264721192849,,"LINESTRING (-94.9198093 43.3892426, -94.9195488 43.3894001)"
,56,51476451,87,88,stream,2,,,,,,,,,1,60.831690448384606,,"LINESTRING (-94.9195488 43.3894001, -94.9190241 43.3897924)"
