name,poi_id,osm_way_id,waterway,barrier,area,centroid,geometry
,10,68701714,water,,6.501233000177293e-08,POINT (-111.1510258 33.6119029),"POLYGON ((-111.1510915 33.6117613, -111.1511629 33.6118261, -111.1511498 33.6118976, -111.1511432 33.6119471, -111.151084 33.6120515, -111.150959 33.6120735, -111.1509196 33.6119855, -111.1508934 33.6119195, -111.1509262 33.611793, -111.1510117 33.6117381, -111.1510841 33.6117546, -111.1510915 33.6117613))"
,11,68701953,water,,3.662419249996449e-07,POINT (-111.1119937 33.665842),"POLYGON ((-111.112216 33.665479, -111.1121963 33.6656274, -111.1121832 33.6657429, -111.1122162 33.6658308, -111.1122754 33.6659518, -111.1122952 33.6660013, -111.1122952 33.6660947, -111.1122624 33.6661387, -111.1122098 33.6662212, -111.1121441 33.6662652, -111.1120783 33.6662927, -111.1119797 33.6661554, -111.1119008 33.6661278, -111.1118876 33.6661223, -111.1117362 33.6660124, -111.1116573 33.6659575, -111.1116178 33.6658586, -111.1116573 33.6657431, -111.1117361 33.6656716, -111.1118084 33.6656001, -111.111907 33.6654901, -111.1119727 33.6654516, -111.1120581 33.6654185, -111.1120976 33.665402, -111.1121634 33.6654075, -111.1121962 33.665435, -111.112216 33.665479))"
 Bull Tank,12,68702215,reservoir,,4.5323580999968654e-07,POINT (-111.074891 33.7050729),"POLYGON ((-111.074876 33.7054075, -111.0747185 33.7053499, -111.0745954 33.7053362, -111.0745318 33.7053077, -111.0744827 33.7052197, -111.0744671 33.7048833, -111.0746822 33.7047118, -111.0750113 33.7048582, -111.0752319 33.7048325, -111.0753408 33.7049468, -111.0753874 33.7050279, -111.0753949 33.7051181, -111.0752043 33.7053026, -111.074876 33.7054075))"
,13,68702249,water,,2.0618525000060548e-08,POINT (-111.1103651 33.7588849),"POLYGON ((-111.1104544 33.7588666, -111.1104484 33.7589025, -111.1104517 33.7589341, -111.1103595 33.7589661, -111.1102727 33.7589028, -111.1102788 33.7588465, -111.1103212 33.7588081, -111.110386 33.7588222, -111.1104523 33.758847, -111.1104544 33.7588666))"
,14,68702254,water,,7.621404499883728e-08,POINT (-111.118576 33.5975556),"POLYGON ((-111.118544 33.597738, -111.1184455 33.5976995, -111.1184388 33.597595, -111.1184912 33.5974411, -111.1185569 33.5973696, -111.1186621 33.5973695, -111.1187015 33.5974465, -111.1186951 33.5976225, -111.1186425 33.5977104, -111.118544 33.597738))"
 Roadrunner Tank,15,68702313,water,,5.1880250001924775e-08,POINT (-110.979099 33.7026607),"POLYGON ((-110.9791659 33.7027988, -110.9790904 33.7027628, -110.979004 33.7027357, -110.9789393 33.7027086, -110.9789285 33.7026635, -110.9789393 33.7026274, -110.9790364 33.7025824, -110.9791875 33.7025283, -110.9792307 33.7025824, -110.9792307 33.7026365, -110.9792091 33.7027267, -110.9791659 33.7027988))"
 Tin Tank,16,68702336,reservoir,,1.0931845499766622e-07,POINT (-111.0943894 33.7287957),"POLYGON ((-111.0944459 33.7287592, -111.0946147 33.728931, -111.094633 33.7290431, -111.0945555 33.729079, -111.0944751 33.7290473, -111.0944054 33.7289631, -111.0942695 33.7289949, -111.0943055 33.7288429, -111.0943397 33.7287719, -111.0943382 33.7287201, -111.0943068 33.7286627, -111.0942223 33.7286399, -111.0941557 33.728597, -111.0941273 33.7286101, -111.0941114 33.7285493, -111.0941615 33.7285199, -111.0942852 33.7284772, -111.094384 33.7284739, -111.0943532 33.7285739, -111.0943406 33.7286658, -111.0943933 33.7286932, -111.0944459 33.7287592))"
,17,68702473,water,,2.1810050000153175e-08,POINT (-110.9552007 33.7253163),"POLYGON ((-110.9551868 33.725206, -110.95523 33.7252331, -110.9552623 33.7252872, -110.9552839 33.7253233, -110.9552731 33.7253684, -110.9552515 33.7253954, -110.9551975 33.7254044, -110.9551651 33.7253954, -110.9551327 33.7253683, -110.955122 33.7253142, -110.9551544 33.725242, -110.9551868 33.725206))"
,18,68702804,water,,3.600857999871787e-08,POINT (-110.9829448 33.686639),"POLYGON ((-110.983 33.6867447, -110.9829569 33.6867447, -110.9828921 33.6867266, -110.982849 33.6866815, -110.9828382 33.6866364, -110.9828274 33.6865913, -110.9828814 33.6865462, -110.9829067 33.6865462, -110.9829245 33.6865463, -110.9829785 33.6865282, -110.9830109 33.6865463, -110.9830324 33.6865914, -110.9830432 33.6866455, -110.983054 33.6866996, -110.9830216 33.6867267, -110.983 33.6867447))"
,19,68702999,reservoir,,1.7964769350001293e-06,POINT (-111.0720061 33.6585488),"POLYGON ((-111.0710325 33.6591876, -111.0710851 33.6592591, -111.0711246 33.6592866, -111.07121 33.6593085, -111.0713021 33.6592976, -111.0714073 33.659281, -111.0714928 33.6592315, -111.0716111 33.6591985, -111.0717097 33.6591601, -111.0717952 33.6591326, -111.0719135 33.6590996, -111.0720319 33.6590556, -111.0721305 33.659028, -111.0722883 33.6589511, -111.0724198 33.6588796, -111.0725578 33.6587916, -111.07265 33.6586927, -111.0727748 33.6585496, -111.0728932 33.6584232, -111.0729392 33.6583737, -111.0729918 33.6583682, -111.0730247 33.6583572, -111.0731101 33.6583242, -111.073143 33.6582967, -111.0731889 33.6582197, -111.0731956 33.6581483, -111.0731429 33.6581043, -111.0730574 33.6580328, -111.0729128 33.6579613, -111.0727747 33.6579229, -111.0726169 33.6579064, -111.0724197 33.6579064, -111.0723014 33.6579064, -111.0721501 33.6579174, -111.0719989 33.6579614, -111.0718806 33.6579999, -111.0717754 33.6580604, -111.0716307 33.6581869, -111.0714926 33.6582968, -111.0713414 33.6584288, -111.0712691 33.6585058, -111.0711902 33.6585552, -111.0711048 33.6586048, -111.0710522 33.6586763, -111.0710193 33.6587532, -111.0709996 33.6588742, -111.0710062 33.6589457, -111.0710194 33.6590722, -111.0710325 33.6591876))"
