name,node_id,osm_node_id,x_coord,y_coord,geometry
,0,174115368,-111.0729159,33.7372384,POINT (-111.0729159 33.7372384)
,1,437724685,-110.7443251,33.6977028,POINT (-110.7443251 33.6977028)
,2,825527404,-111.0767987,33.6584118,POINT (-111.0767987 33.6584118)
,3,825527425,-111.0850982,33.6653769,POINT (-111.0850982 33.6653769)
,4,825527468,-111.0296581,33.6687672,POINT (-111.0296581 33.6687672)
,5,825527516,-111.0502629,33.6503954,POINT (-111.0502629 33.6503954)
,6,825527534,-111.0648321,33.6549376,POINT (-111.0648321 33.6549376)
,7,825527998,-111.0794364,33.6637284,POINT (-111.0794364 33.6637284)
,8,825528008,-111.0834034,33.6724866,POINT (-111.0834034 33.6724866)
,9,825528026,-111.0405732,33.672162,POINT (-111.0405732 33.672162)
,10,825528104,-111.0175937,33.651955,POINT (-111.0175937 33.651955)
,11,825528117,-111.0707364,33.6569499,POINT (-111.0707364 33.6569499)
,12,825528139,-111.1281605,33.7008833,POINT (-111.1281605 33.7008833)
,13,825528152,-111.075349,33.6808947,POINT (-111.075349 33.6808947)
,14,825528277,-111.0880352,33.6795345,POINT (-111.0880352 33.6795345)
,15,825528348,-111.0046418,33.6519551,POINT (-111.0046418 33.6519551)
,16,825528402,-111.0237422,33.6492024,POINT (-111.0237422 33.6492024)
,17,825528415,-111.0766473,33.6567844,POINT (-111.0766473 33.6567844)
,18,825528417,-111.1330312,33.6964154,POINT (-111.1330312 33.6964154)
,19,825528432,-111.1214592,33.7008675,POINT (-111.1214592 33.7008675)
,20,825528448,-111.0726924,33.6847601,POINT (-111.0726924 33.6847601)
,21,825528564,-111.0913345,33.6731722,POINT (-111.0913345 33.6731722)
,22,825528627,-111.0962318,33.6679311,POINT (-111.0962318 33.6679311)
,23,825528694,-111.0289368,33.6468561,POINT (-111.0289368 33.6468561)
,24,825528750,-111.114295,33.7003319,POINT (-111.114295 33.7003319)
,25,825528913,-111.004697,33.6676583,POINT (-111.004697 33.6676583)
,26,825528937,-111.1028331,33.6664995,POINT (-111.1028331 33.6664995)
,27,825528987,-111.0314954,33.6436127,POINT (-111.0314954 33.6436127)
,28,825529012,-111.035064,33.6464672,POINT (-111.035064 33.6464672)
,29,825529038,-111.1113358,33.702065,POINT (-111.1113358 33.702065)
,30,825529053,-111.0985488,33.6892584,POINT (-111.0985488 33.6892584)
,31,825529251,-111.0620574,33.6798836,POINT (-111.0620574 33.6798836)
,32,825529265,-111.1089416,33.6659916,POINT (-111.1089416 33.6659916)
