name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,dir_flag,access,boat,capacity,gnis_feature_id,gnis_state_id,gnis_name,intermittent,tunnel,lanes,length,free_speed,geometry
,0,42401454,3778,3779,reservoir,2,,,,,,,,,1,25.018079051878164,,"LINESTRING (-111.4816618 33.5599659, -111.4815652 33.560176)"
,1,42401454,3779,3780,reservoir,2,,,,,,,,,1,33.7453630374975,,"LINESTRING (-111.4815652 33.560176, -111.4813024 33.5603861)"
,2,42401454,3780,3781,reservoir,2,,,,,,,,,1,14.218145245724227,,"LINESTRING (-111.4813024 33.5603861, -111.481179 33.5604621)"
,3,42401454,3781,239,reservoir,2,,,,,,,,,1,20.068933145168913,,"LINESTRING (-111.481179 33.5604621, -111.4810467 33.560605)"
,4,42401454,239,2775,reservoir,2,,,,,,,,,1,15.186138108263233,,"LINESTRING (-111.4810467 33.560605, -111.4811119 33.5607303)"
,5,42401454,2775,2776,reservoir,2,,,,,,,,,1,5.763288825036367,,"LINESTRING (-111.4811119 33.5607303, -111.4811039 33.5607817)"
,6,42401454,2776,2777,reservoir,2,,,,,,,,,1,4.574670628019752,,"LINESTRING (-111.4811039 33.5607817, -111.481069 33.5608108)"
,7,42401454,2777,2778,reservoir,2,,,,,,,,,1,8.083968844390588,,"LINESTRING (-111.481069 33.5608108, -111.4810073 33.5608622)"
,8,42401454,2778,2779,reservoir,2,,,,,,,,,1,13.000038951033671,,"LINESTRING (-111.4810073 33.5608622, -111.4809456 33.5609672)"
,9,42401454,2779,2780,reservoir,2,,,,,,,,,1,4.010955731103199,,"LINESTRING (-111.4809456 33.5609672, -111.4809403 33.561003)"
,10,42401454,2780,2781,reservoir,2,,,,,,,,,1,9.1992229212596,,"LINESTRING (-111.4809403 33.561003, -111.480943 33.5610857)"
,11,42401454,2781,2782,reservoir,2,,,,,,,,,1,13.213845672996836,,"LINESTRING (-111.480943 33.5610857, -111.4809537 33.5612042)"
,12,42401454,2782,2783,reservoir,2,,,,,,,,,1,26.43655880307409,,"LINESTRING (-111.4809537 33.5612042, -111.4809296 33.5614411)"
