name,node_id,osm_node_id,x_coord,y_coord,geometry
,0,41418726,-111.4719736,33.512058,POINT (-111.4719736 33.512058)
,1,41418729,-111.4722027,33.5123184,POINT (-111.4722027 33.5123184)
,2,41418732,-111.4724958,33.51256,POINT (-111.4724958 33.51256)
,3,41418736,-111.4727932,33.5127419,POINT (-111.4727932 33.5127419)
,4,41418738,-111.4730573,33.5129542,POINT (-111.4730573 33.5129542)
,5,41418740,-111.4737316,33.5126473,POINT (-111.4737316 33.5126473)
,6,41418742,-111.4739272,33.5119898,POINT (-111.4739272 33.5119898)
,7,41418745,-111.4744653,33.5123769,POINT (-111.4744653 33.5123769)
,8,41418751,-111.4753239,33.5128087,POINT (-111.4753239 33.5128087)
,9,41418756,-111.47582,33.512858,POINT (-111.47582 33.512858)
,10,41418758,-111.4762129,33.5128549,POINT (-111.4762129 33.5128549)
,11,41418760,-111.4770153,33.5131333,POINT (-111.4770153 33.5131333)
,12,41418762,-111.4778757,33.5135166,POINT (-111.4778757 33.5135166)
,13,41418764,-111.478273,33.5137775,POINT (-111.478273 33.5137775)
,14,41418766,-111.4791844,33.5140116,POINT (-111.4791844 33.5140116)
,15,41418767,-111.4799535,33.5142663,POINT (-111.4799535 33.5142663)
,16,41418769,-111.48021,33.5146903,POINT (-111.48021 33.5146903)
,17,41418771,-111.4801185,33.5154324,POINT (-111.4801185 33.5154324)
,18,41418772,-111.4808768,33.5163636,POINT (-111.4808768 33.5163636)
,19,359273512,-111.5361088,33.5665225,POINT (-111.5361088 33.5665225)
,20,434079275,-111.4669648,33.5006218,POINT (-111.4669648 33.5006218)
,21,434079278,-111.4670249,33.5007292,POINT (-111.4670249 33.5007292)
,22,434079281,-111.4670163,33.5008723,POINT (-111.4670163 33.5008723)
,23,434079283,-111.4669477,33.5010584,POINT (-111.4669477 33.5010584)
,24,434079286,-111.4669906,33.5012874,POINT (-111.4669906 33.5012874)
,25,434079288,-111.4670678,33.5013733,POINT (-111.4670678 33.5013733)
,26,444024531,-111.449713,33.581218,POINT (-111.449713 33.581218)
,27,444024532,-111.450067,33.58082,POINT (-111.450067 33.58082)
,28,444024533,-111.450281,33.580567,POINT (-111.450281 33.580567)
,29,444024542,-111.448685,33.582377,POINT (-111.448685 33.582377)
,30,444024545,-111.44892,33.582069,POINT (-111.44892 33.582069)
,31,444024563,-111.451901,33.575041,POINT (-111.451901 33.575041)
,32,444024564,-111.451813,33.575272,POINT (-111.451813 33.575272)
,33,444024566,-111.452445,33.574092,POINT (-111.452445 33.574092)
,34,444024567,-111.452627,33.573848,POINT (-111.452627 33.573848)
,35,444024568,-111.452146,33.574607,POINT (-111.452146 33.574607)
,36,444024569,-111.452349,33.574264,POINT (-111.452349 33.574264)
,37,444024570,-111.451088,33.576162,POINT (-111.451088 33.576162)
,38,444024571,-111.451206,33.576099,POINT (-111.451206 33.576099)
,39,444024572,-111.450851,33.576217,POINT (-111.450851 33.576217)
,40,444024573,-111.451016,33.576179,POINT (-111.451016 33.576179)
,41,444024574,-111.451677,33.575547,POINT (-111.451677 33.575547)
,42,444024576,-111.451335,33.576017,POINT (-111.451335 33.576017)
,43,444024577,-111.451549,33.575719,POINT (-111.451549 33.575719)
,44,444024578,-111.449841,33.576735,POINT (-111.449841 33.576735)
,45,444024579,-111.449852,33.576916,POINT (-111.449852 33.576916)
,46,444024580,-111.449854,33.577258,POINT (-111.449854 33.577258)
,47,444024581,-111.449833,33.577421,POINT (-111.449833 33.577421)
,48,444024586,-111.449753,33.578558,POINT (-111.449753 33.578558)
,49,444024588,-111.449862,33.578774,POINT (-111.449862 33.578774)
