name,link_id,osm_way_id,from_node_id,to_node_id,link_type_name,dir_flag,access,boat,capacity,gnis_feature_id,gnis_state_id,gnis_name,intermittent,tunnel,lanes,length,free_speed,geometry
,0,18855729,1,2,canal,2,,,,,,,,,1,50.93771845704061,,"LINESTRING (-111.9473155 33.4380177, -111.9477713 33.4377624)"
,1,18855729,2,3,canal,2,,,,,,,,,1,16.412914432081266,,"LINESTRING (-111.9477713 33.4377624, -111.9479429 33.4377266)"
,2,18855729,3,4,canal,2,,,,,,,,,1,51.12505885589868,,"LINESTRING (-111.9479429 33.4377266, -111.9484922 33.4376908)"
,3,18855729,4,5,canal,2,,,,,,,,,1,283.7123217085649,,"LINESTRING (-111.9484922 33.4376908, -111.9515367 33.4374553)"
,4,18855729,5,6,canal,2,,,,,,,,,1,25.425213403736997,,"LINESTRING (-111.9515367 33.4374553, -111.9517714 33.4375733)"
Tempe Town Lake Dam,5,72764783,7,13,dam,2,,,,,,,,,1,134.03016403065803,,"LINESTRING (-111.9489771 33.4349213, -111.949215 33.4337324)"
Tempe Town Lake Dam,6,72764783,13,8,dam,2,,,,,,,,,1,136.52512679300307,,"LINESTRING (-111.949215 33.4337324, -111.9494604 33.4325218)"
Salt River,7,72764801,297,179,river,2,yes,yes,,33995,,Salt River,,,1,161.44778342629783,,"LINESTRING (-111.9169623 33.4335948, -111.9186744 33.4333366)"
Salt River,8,72764801,179,178,river,2,yes,yes,,33995,,Salt River,,,1,29.811977323770225,,"LINESTRING (-111.9186744 33.4333366, -111.9189685 33.4332287)"
Salt River,9,72764801,178,177,river,2,yes,yes,,33995,,Salt River,,,1,254.22339502034615,,"LINESTRING (-111.9189685 33.4332287, -111.9214764 33.4323085)"
Salt River,10,72764801,177,291,river,2,yes,yes,,33995,,Salt River,,,1,171.07336869179053,,"LINESTRING (-111.9214764 33.4323085, -111.9231512 33.4316655)"
Salt River,11,72764801,291,289,river,2,yes,yes,,33995,,Salt River,,,1,106.97397686401065,,"LINESTRING (-111.9231512 33.4316655, -111.9242689 33.43143)"
Salt River,12,72764801,289,290,river,2,yes,yes,,33995,,Salt River,,,1,378.06612718432143,,"LINESTRING (-111.9242689 33.43143, -111.9283428 33.4314645)"
Salt River,13,72764801,290,292,river,2,yes,yes,,33995,,Salt River,,,1,177.03896688975078,,"LINESTRING (-111.9283428 33.4314645, -111.930187 33.4318722)"
Salt River,14,72764801,292,293,river,2,yes,yes,,33995,,Salt River,,,1,313.2786781275116,,"LINESTRING (-111.930187 33.4318722, -111.9333663 33.4328198)"
Salt River,15,72764801,293,295,river,2,yes,yes,,33995,,Salt River,,,1,251.54144597879247,,"LINESTRING (-111.9333663 33.4328198, -111.9359882 33.4333941)"
Salt River,16,72764801,295,294,river,2,yes,yes,,33995,,Salt River,,,1,854.4174933595153,,"LINESTRING (-111.9359882 33.4333941, -111.9451957 33.4333654)"
Salt River,17,72826916,175,176,river,2,,no,,33995,,Salt River,yes,,1,90.94972530973239,,"LINESTRING (-111.7866535 33.4853526, -111.7876003 33.4855658)"
Salt River,18,72826916,176,34,river,2,,no,,33995,,Salt River,yes,,1,150.22005196589453,,"LINESTRING (-111.7876003 33.4855658, -111.7891303 33.4860094)"
Salt River,19,72826916,34,35,river,2,,no,,33995,,Salt River,yes,,1,327.24761005244113,,"LINESTRING (-111.7891303 33.4860094, -111.7925635 33.4866895)"
Salt River,20,72826916,35,36,river,2,,no,,33995,,Salt River,yes,,1,309.6359985121484,,"LINESTRING (-111.7925635 33.4866895, -111.7956172 33.4878155)"
Salt River,21,72826916,36,160,river,2,,no,,33995,,Salt River,yes,,1,284.57790374786964,,"LINESTRING (-111.7956172 33.4878155, -111.7986148 33.4883631)"
Salt River,22,72826916,160,37,river,2,,no,,33995,,Salt River,yes,,1,198.4839726610822,,"LINESTRING (-111.7986148 33.4883631, -111.8007542 33.488415)"
Salt River,23,72826916,37,38,river,2,,no,,33995,,Salt River,yes,,1,270.0832023396863,,"LINESTRING (-111.8007542 33.488415, -111.803666 33.4883666)"
Salt River,24,72826916,38,324,river,2,,no,,33995,,Salt River,yes,,1,291.02125990857104,,"LINESTRING (-111.803666 33.4883666, -111.8063386 33.4869949)"
Salt River,25,72826916,324,39,river,2,,no,,33995,,Salt River,yes,,1,204.78711939583758,,"LINESTRING (-111.8063386 33.4869949, -111.8084532 33.4864643)"
Salt River,26,72826916,39,323,river,2,,no,,33995,,Salt River,yes,,1,106.4029678316385,,"LINESTRING (-111.8084532 33.4864643, -111.8095984 33.4865228)"
Salt River,27,72826916,323,322,river,2,,no,,33995,,Salt River,yes,,1,84.13613549902882,,"LINESTRING (-111.8095984 33.4865228, -111.8104861 33.4863666)"
Salt River,28,72826916,322,40,river,2,,no,,33995,,Salt River,yes,,1,314.3950224806219,,"LINESTRING (-111.8104861 33.4863666, -111.8131627 33.4846314)"
Salt River,29,72826916,40,41,river,2,,no,,33995,,Salt River,yes,,1,230.11339120835103,,"LINESTRING (-111.8131627 33.4846314, -111.8150512 33.4832891)"
Salt River,30,72826916,41,325,river,2,,no,,33995,,Salt River,yes,,1,308.4002273968875,,"LINESTRING (-111.8150512 33.4832891, -111.8166208 33.480844)"
Salt River,31,72826916,325,335,river,2,,no,,33995,,Salt River,yes,,1,69.93372658568312,,"LINESTRING (-111.8166208 33.480844, -111.8171983 33.4804396)"
Salt River,32,72826916,335,336,river,2,,no,,33995,,Salt River,yes,,1,58.6173928825625,,"LINESTRING (-111.8171983 33.4804396, -111.8178075 33.4802992)"
Salt River,33,72826916,336,42,river,2,,no,,33995,,Salt River,yes,,1,275.652041571347,,"LINESTRING (-111.8178075 33.4802992, -111.8196431 33.4783495)"
Salt River,34,72826916,42,43,river,2,,no,,33995,,Salt River,yes,,1,250.63516977466043,,"LINESTRING (-111.8196431 33.4783495, -111.8214885 33.4767029)"
Salt River,35,72826916,43,44,river,2,,no,,33995,,Salt River,yes,,1,474.3199693895179,,"LINESTRING (-111.8214885 33.4767029, -111.8252098 33.473777)"
Salt River,36,72826916,44,330,river,2,,no,,33995,,Salt River,yes,,1,116.53777587960019,,"LINESTRING (-111.8252098 33.473777, -111.8262531 33.473193)"
Salt River,37,72826916,330,329,river,2,,no,,33995,,Salt River,yes,,1,34.14113004430552,,"LINESTRING (-111.8262531 33.473193, -111.8263654 33.4729006)"
Salt River,38,72826916,329,328,river,2,,no,,33995,,Salt River,yes,,1,122.01614859415471,,"LINESTRING (-111.8263654 33.4729006, -111.8262385 33.4718084)"
Salt River,39,72826916,328,327,river,2,,no,,33995,,Salt River,yes,,1,72.36615798174788,,"LINESTRING (-111.8262385 33.4718084, -111.8269661 33.4715735)"
Salt River,40,72826916,327,326,river,2,,no,,33995,,Salt River,yes,,1,75.00229408706238,,"LINESTRING (-111.8269661 33.4715735, -111.8271083 33.4709095)"
Salt River,41,72826916,326,45,river,2,,no,,33995,,Salt River,yes,,1,78.19501197292016,,"LINESTRING (-111.8271083 33.4709095, -111.8278052 33.4705138)"
Salt River,42,72826916,45,334,river,2,,no,,33995,,Salt River,yes,,1,186.55275250878887,,"LINESTRING (-111.8278052 33.4705138, -111.8292751 33.4693687)"
Salt River,43,72826916,334,333,river,2,,no,,33995,,Salt River,yes,,1,107.2446505532622,,"LINESTRING (-111.8292751 33.4693687, -111.8299726 33.4685995)"
Salt River,44,72826916,333,172,river,2,,no,,33995,,Salt River,yes,,1,216.38597394218706,,"LINESTRING (-111.8299726 33.4685995, -111.8323018 33.4687078)"
Salt River,45,72826916,172,46,river,2,,no,,33995,,Salt River,yes,,1,260.9456872046723,,"LINESTRING (-111.8323018 33.4687078, -111.8321563 33.4663642)"
Salt River,46,72826916,46,332,river,2,,no,,33995,,Salt River,yes,,1,34.93199271861626,,"LINESTRING (-111.8321563 33.4663642, -111.8322013 33.4660523)"
Salt River,47,72826916,332,331,river,2,,no,,33995,,Salt River,yes,,1,88.79064844718702,,"LINESTRING (-111.8322013 33.4660523, -111.8326968 33.4653691)"
Salt River,48,72826916,331,169,river,2,,no,,33995,,Salt River,yes,,1,222.46626461235022,,"LINESTRING (-111.8326968 33.4653691, -111.8339995 33.4636893)"
Salt River,49,72826916,169,168,river,2,,no,,33995,,Salt River,yes,,1,69.3648220332613,,"LINESTRING (-111.8339995 33.4636893, -111.8347192 33.46352)"
Salt River,50,72826916,168,170,river,2,,no,,33995,,Salt River,yes,,1,199.81591172737058,,"LINESTRING (-111.8347192 33.46352, -111.8366568 33.4643051)"
